Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",1206,2,47u,
"C2, C3, C6",0805,3,100n,
C5,0805,1,10u,
D1,0805,1,RED,
D2,D_SMB_Handsoldering,1,D,
"J1, J2, J3",PinHeader_1x03_P2.54mm_Horizontal,3,Conn_01x03,
"J4, J6",PinHeader_2x19_P2.54mm_Vertical,2,Conn_02x19_Odd_Even,
J5,DCJ20010AK1K,1,DCJ200-10-A-K1-K,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J8,TerminalBlock_bornier-2_P5.08mm,1,Screw_Terminal_01x02,
"R1, R7",0805,2,1k,
"R2, R6",0805,2,10k,
"R3, R4, R5",1206,3,100R,
SW1,SW_PUSH_6mm_H9.5mm,1,SW_Push,
SW2,SW_PUSH_6mm_H4.3mm,1,SW_Push,
U1,SOT-223-3_TabPin2,1,LD1117S33TR,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32G071RBT6,
U3,TSOT-23_HandSoldering,1,PJA3404_R1_00001,
