Designator,Mid X,Mid Y,Rotation,Layer
C1,130.8,-87.2,180.0,top
C2,131.4,-89.7,0.0,top
C3,160.225,-95.65,180.0,top
C4,133.0625,-101.05,180.0,top
C5,148.75,-104.75,270.0,top
C6,152.9,-105.8,270.0,top
D1,152.4,-79.1,180.0,top
D2,131.2,-133.2,0.0,top
J1,157.46,-140.2,270.0,top
J2,145.6,-140.3,270.0,top
J3,169.64,-140.3,270.0,top
J4,118.27,-108.74,0.0,top
J5,134.844,-77.894,180.0,top
J6,179.23,-108.74,0.0,top
J7,158.0,-76.0,90.0,top
J8,131.350001,-140.4,0.0,top
R1,147.0,-79.1,0.0,top
R2,166.9,-91.875,270.0,top
R3,157.9,-131.2,180.0,top
R4,164.2,-131.1,180.0,top
R5,170.2,-131.1,180.0,top
R6,146.279999,-129.55,90.0,top
R7,134.6,-129.6,180.0,top
SW1,148.85,-84.75,0.0,top
SW2,161.225,-89.4,90.0,top
U1,134.7,-95.3,90.0,top
U2,161.2,-106.0,270.0,top
U3,141.19,-129.65,0.0,top
